-----------------------------------------------------------------------------------------
---  TAG: Peso003
---  Date: 2020/05/07 16:33:00 - 2020/05/14 16:33:00
---  TimeZone: (UTC+01:00)
-----------------------------------------------------------------------------------------

DATE;VALUE;STATE;STATE DETAIL
14/05/2020 12:19:34.535;35500;0;
14/05/2020 12:19:35.541;35500;0;
14/05/2020 12:19:36.556;35500;0;
14/05/2020 12:19:37.561;35500;0;
14/05/2020 12:19:38.565;35500;0;
14/05/2020 12:19:39.566;35500;0;
14/05/2020 12:19:40.570;35500;0;
14/05/2020 12:19:41.575;35500;0;
14/05/2020 12:19:42.583;35500;0;
14/05/2020 12:19:43.589;35500;0;
14/05/2020 12:19:44.596;35500;0;
14/05/2020 12:19:45.612;35560;0;
14/05/2020 12:19:46.614;35600;0;
14/05/2020 12:19:47.619;35500;0;
14/05/2020 12:19:48.623;35500;0;
14/05/2020 12:19:49.630;35500;0;
14/05/2020 12:19:50.633;35500;0;
14/05/2020 12:19:51.635;35500;0;
14/05/2020 12:19:52.639;35500;0;
14/05/2020 12:19:53.645;35500;0;
14/05/2020 12:19:54.651;35500;0;
14/05/2020 12:19:55.656;35500;0;
14/05/2020 12:19:56.660;35580;0;
14/05/2020 12:19:57.663;35640;0;
14/05/2020 12:19:58.663;35640;0;
14/05/2020 12:19:59.670;35640;0;
14/05/2020 12:20:00.672;35640;0;
14/05/2020 12:20:01.677;35640;0;
14/05/2020 12:20:02.680;35640;0;
14/05/2020 12:20:03.683;35640;0;
14/05/2020 12:20:04.691;35640;0;
14/05/2020 12:20:05.692;35640;0;
14/05/2020 12:20:06.695;35640;0;
14/05/2020 12:20:07.698;35640;0;
14/05/2020 12:20:08.700;35600;0;
14/05/2020 12:20:09.703;35560;0;
14/05/2020 12:20:10.704;35520;0;
14/05/2020 12:20:11.710;35500;0;
14/05/2020 12:20:12.713;35500;0;
14/05/2020 12:20:13.718;35500;0;
14/05/2020 12:20:14.720;35500;0;
14/05/2020 12:20:15.727;35500;0;
14/05/2020 12:20:16.735;35500;0;
14/05/2020 12:20:17.741;35500;0;
14/05/2020 12:20:18.743;35560;0;
14/05/2020 12:20:19.748;35580;0;
14/05/2020 12:20:20.756;35560;0;
14/05/2020 12:20:21.758;35640;0;
14/05/2020 12:20:22.762;35660;0;
14/05/2020 12:20:23.765;35640;0;
14/05/2020 12:20:24.771;35640;0;
14/05/2020 12:20:25.772;35640;0;
14/05/2020 12:20:26.774;35640;0;
14/05/2020 12:20:27.781;35640;0;
14/05/2020 12:20:28.787;35640;0;
14/05/2020 12:20:29.795;35640;0;
14/05/2020 12:20:30.800;35640;0;
14/05/2020 12:20:31.803;35640;0;
14/05/2020 12:20:32.808;35640;0;
14/05/2020 12:20:33.810;35640;0;
14/05/2020 12:20:34.816;35620;0;
14/05/2020 12:20:35.818;35620;0;
14/05/2020 12:20:36.818;35620;0;
14/05/2020 12:20:37.827;35620;0;
14/05/2020 12:20:38.831;35620;0;
14/05/2020 12:20:39.835;35620;0;
14/05/2020 12:20:40.841;35620;0;
14/05/2020 12:20:41.857;35620;0;
14/05/2020 12:20:42.860;35620;0;
14/05/2020 12:20:43.865;35620;0;
14/05/2020 12:20:44.872;35620;0;
14/05/2020 12:20:45.888;35640;0;
14/05/2020 12:20:46.891;35640;0;
14/05/2020 12:20:47.897;35640;0;
14/05/2020 12:20:48.902;35600;0;
14/05/2020 12:20:49.906;35580;0;
14/05/2020 12:20:50.908;35580;0;
14/05/2020 12:20:51.910;35520;0;
14/05/2020 12:20:52.912;29580;0;
14/05/2020 12:20:53.916;29380;0;
14/05/2020 12:20:54.923;29020;0;
14/05/2020 12:20:55.929;22660;0;
14/05/2020 12:20:56.932;22820;0;
14/05/2020 12:20:57.933;22820;0;
14/05/2020 12:20:58.939;13540;0;
14/05/2020 12:20:59.946;7400;0;
14/05/2020 12:21:00.953;20;0;
14/05/2020 12:21:01.953;0;0;
14/05/2020 12:27:20.826;60;0;
14/05/2020 12:27:21.827;7280;0;
14/05/2020 12:27:22.833;7560;0;
14/05/2020 12:27:23.840;7520;0;
14/05/2020 12:27:24.847;18320;0;
14/05/2020 12:27:25.853;19520;0;
14/05/2020 12:27:26.860;19420;0;
14/05/2020 12:27:27.867;19520;0;
14/05/2020 12:27:28.868;19500;0;
14/05/2020 12:27:29.875;26040;0;
14/05/2020 12:27:30.881;32420;0;
14/05/2020 12:27:31.887;36320;0;
14/05/2020 12:27:32.893;40520;0;
14/05/2020 12:27:33.896;40520;0;
14/05/2020 12:27:34.902;40660;0;
14/05/2020 12:27:35.909;40680;0;
14/05/2020 12:27:36.916;40580;0;
14/05/2020 12:27:37.932;40580;0;
14/05/2020 12:27:38.934;40540;0;
14/05/2020 12:27:39.940;40540;0;
14/05/2020 12:27:40.941;40520;0;
14/05/2020 12:27:41.957;40520;0;
14/05/2020 12:27:42.961;40520;0;
14/05/2020 12:27:43.965;40520;0;
14/05/2020 12:27:44.981;40500;0;
14/05/2020 12:27:45.985;40500;0;
14/05/2020 12:27:46.987;40500;0;
14/05/2020 12:27:47.994;40500;0;
14/05/2020 12:27:49.001;40500;0;
14/05/2020 12:27:50.006;40500;0;
14/05/2020 12:27:51.014;40500;0;
14/05/2020 12:27:52.019;40500;0;
14/05/2020 12:27:53.025;40500;0;
14/05/2020 12:27:54.029;40420;0;
14/05/2020 12:27:55.034;40400;0;
14/05/2020 12:27:56.037;40400;0;
14/05/2020 12:27:57.043;40400;0;
14/05/2020 12:27:58.059;40480;0;
14/05/2020 12:27:59.061;40480;0;
14/05/2020 12:28:00.064;40400;0;
14/05/2020 12:28:01.069;40400;0;
14/05/2020 12:28:02.074;40400;0;
14/05/2020 12:28:03.077;40400;0;
14/05/2020 12:28:04.083;40400;0;
14/05/2020 12:28:05.091;40400;0;
14/05/2020 12:28:06.095;40400;0;
14/05/2020 12:28:07.111;40400;0;
14/05/2020 12:28:08.116;40400;0;
14/05/2020 12:28:09.122;40400;0;
14/05/2020 12:28:10.129;40400;0;
14/05/2020 12:28:11.132;40400;0;
14/05/2020 12:28:12.135;40400;0;
14/05/2020 12:28:13.142;40400;0;
14/05/2020 12:28:14.158;40400;0;
14/05/2020 12:28:15.162;40400;0;
14/05/2020 12:28:16.169;40400;0;
14/05/2020 12:28:17.175;40400;0;
14/05/2020 12:28:18.177;40400;0;
14/05/2020 12:28:19.184;40400;0;
14/05/2020 12:28:20.189;40400;0;
14/05/2020 12:28:21.197;40400;0;
14/05/2020 12:28:22.203;40400;0;
14/05/2020 12:28:23.210;40400;0;
14/05/2020 12:28:24.216;40400;0;
14/05/2020 12:28:25.224;40400;0;
14/05/2020 12:28:26.227;40400;0;
14/05/2020 12:28:27.231;40400;0;
14/05/2020 12:28:28.238;40400;0;
14/05/2020 12:28:29.239;40400;0;
14/05/2020 12:28:30.246;40400;0;
14/05/2020 12:28:31.253;40400;0;
14/05/2020 12:28:32.255;40400;0;
14/05/2020 12:28:33.259;40400;0;
14/05/2020 12:28:34.275;40400;0;
14/05/2020 12:28:35.278;40400;0;
14/05/2020 12:28:36.286;40400;0;
14/05/2020 12:28:37.293;40400;0;
14/05/2020 12:28:38.309;40400;0;
14/05/2020 12:28:39.316;40400;0;
14/05/2020 12:28:40.322;40400;0;
14/05/2020 12:28:41.329;40400;0;
14/05/2020 12:28:42.332;40400;0;
14/05/2020 12:28:43.337;40400;0;
14/05/2020 12:28:44.343;40400;0;
